Country,Year,Life Expectancy,GNI per capita,World Bank Classification,Gross Domestic Product (PPP),Region,Sub-region,ISO
Liberia,1991,47.42273,,1,,Africa,Western Africa,LBR
Libya,1991,68.96873,,3,,Africa,Northern Africa,LBY
Liechtenstein,1991,,47700,,,Europe,Western Europe,LIE
Lithuania,1991,70.36415,,3,,Europe,Northern Europe,LTU
Luxembourg,1991,75.46341,32100,5,13200000000,Europe,Western Europe,LUX
Macao,1991,75.53078,9550,3,8570000000,Asia,Eastern Asia,MAC
"Macedonia, FYR",1991,71.32566,,,10200000000,Europe,Southern Europe,MKD
Madagascar,1991,51.59824,220,1,12000000000,Africa,Eastern Africa,MDG
Malawi,1991,43.58285,210,1,5100000000,Africa,Eastern Africa,MWI
Malaysia,1991,70.98888,2530,2,139000000000,Asia,South-eastern Asia,MYS
Maldives,1991,62.25822,,1,,Asia,Southern Asia,MDV
Mali,1991,46.83651,320,1,8030000000,Africa,Western Africa,MLI
Malta,1991,75.3902,8080,3,3630000000,Europe,Southern Europe,MLT
Marshall Islands,1991,,,2,91200000,Oceania,Micronesia,MHL
Mauritania,1991,58.57676,540,1,3870000000,Africa,Western Africa,MRT
Mauritius,1991,69.9561,2620,2,5450000000,Africa,Eastern Africa,MUS
Mexico,1991,71.19098,3200,3,555000000000,Americas,Central America,MEX
"Micronesia, Fed. Sts.",1991,66.31012,,2,191000000,Oceania,Micronesia,FSM
Moldova,1991,67.39232,,2,,Europe,Eastern Europe,MDA
Monaco,1991,,82500,,,Europe,Western Europe,MCO
Mongolia,1991,60.48824,1200,2,6820000000,Asia,Eastern Asia,MNG
Montenegro,1991,74.51041,,,,Europe,Southern Europe,MNE
Morocco,1991,65.2031,1230,2,70300000000,Africa,Northern Africa,MAR
Mozambique,1991,43.53732,200,1,3510000000,Africa,Eastern Africa,MOZ
Myanmar,1991,59.04849,,1,20000000000,Asia,South-eastern Asia,MMR
Namibia,1991,61.26912,2170,2,5840000000,Africa,Southern Africa,NAM
Nauru,1991,,,,,Oceania,Micronesia,NRU
Nepal,1991,55.05863,210,1,16000000000,Asia,Southern Asia,NPL
Netherlands,1991,77,21000,5,299000000000,Europe,Western Europe,NLD
New Caledonia,1991,70.35854,15200,3,,Oceania,Melanesia,NCL
New Zealand,1991,76.03171,12200,5,50900000000,Oceania,Australia and New Zealand,NZL
Nicaragua,1991,64.8841,220,1,8340000000,Americas,Central America,NIC
Niger,1991,44.51661,290,1,4910000000,Africa,Western Africa,NER
Nigeria,1991,46.08695,270,1,192000000000,Africa,Western Africa,NGA
Northern Mariana Islands,1991,,,,,Oceania,Micronesia,MNP
Norway,1991,76.98073,27800,5,83300000000,Europe,Northern Europe,NOR
Oman,1991,67.84634,6040,3,45000000000,Asia,Western Asia,OMN
Pakistan,1991,60.39622,420,1,231000000000,Asia,Southern Asia,PAK
Palau,1991,,,,166000000,Oceania,Micronesia,PLW
Panama,1991,73.27127,2730,2,14100000000,Americas,Central America,PAN
Papua New Guinea,1991,56.04707,870,2,4890000000,Oceania,Melanesia,PNG
Paraguay,1991,68.19105,,2,17600000000,Americas,South America,PRY
Peru,1991,66.02366,1180,2,79200000000,Americas,South America,PER
Philippines,1991,65.48127,720,2,165000000000,Asia,South-eastern Asia,PHL
Poland,1991,70.5878,,2,226000000000,Europe,Eastern Europe,POL
Portugal,1991,74.01463,8190,3,127000000000,Europe,Southern Europe,PRT
Puerto Rico,1991,74.0388,6360,3,60200000000,Americas,Caribbean,PRI
Qatar,1991,75.28229,,4,,Asia,Western Asia,QAT
